id,title,year,date_published,duration,country,worlwide_gross_income,languages,production_company
tt0012494,Der müde Tod,2017,09-06-2017,97,Germany,$ 12156,German,Decla-Bioscop AG
tt0038733,A Matter of Life and Death,2017,08-12-2017,104,UK,$ 124241,"English, French, Russian",The Archers
tt0060908,Le roi de coeur,2018,08-06-2018,102,"France, Italy",$ 18130,"French, English, German",Fildebroc
tt0069049,The Other Side of the Wind,2018,02-11-2018,122,"France, Iran, USA",,"English, German",Royal Road Entertainment
tt0071145,Ankur,2019,02-01-2019,131,India,,Hindi,Blaze Film Enterprises
tt0082620,Kiss Daddy Goodbye,2018,23-11-2018,92,USA,,English,Pendragon Film
tt0083907,The Evil Dead,2018,31-10-2018,85,USA,$ 2893091,English,Renaissance Pictures
tt0085953,Mo tai,2019,22-10-2019,84,Hong Kong,,Cantonese,Lo Wei Motion Picture Company
tt0095857,Pestonjee,2019,22-02-2019,125,India,,Hindi,National Film Development Corporation of India (NFDC)
tt0097268,Ek Din Achanak,2018,30-12-2018,105,India,,Hindi,National Film Development Corporation
tt0100275,La Telenovela Errante,2018,06-09-2018,80,Chile,$ 3624,Spanish,Poetastros
tt0116851,Leila,2017,06-12-2017,102,Iran,$ 8231,Persian,Farabi Cinema Foundation
tt0137204,Joe Finds Grace,2017,22-04-2017,83,Canada,,English,Bradeway Pictures
tt0147855,Aashirwad,2019,09-03-2019,146,India,,Hindi,Film Enterprises
tt0192669,Teenage Space Vampires,2018,15-11-2018,90,"Romania, Canada, USA",,English,Canarom Productions
tt0235166,Against All Hope,2017,20-10-2017,90,USA,,English,
tt0278422,Buttleman,2018,01-01-2018,94,USA,,English,Buttleman Productions LLC
tt0331314,Bunyan and Babe,2017,12-01-2017,84,"USA, India",$ 72060,English,Exodus Film Group
tt0337383,Vaikai is Amerikos viesbucio,2017,09-03-2017,88,Soviet Union,,"Lithuanian, Russian",Lietuvos Kinostudija
tt0339091,Gang of Roses,2019,20-09-2019,94,USA,$ 30497,English,Sleeping Giant Productions
tt0339736,The Evil Within,2017,30-08-2017,98,USA,,English,Supernova LLC
tt0347307,Kaminnyy khrest,2018,30-10-2018,80,Soviet Union,,Ukrainian,Dovzhenko Film Studios
tt0352314,Ek Hasina Thi,2019,02-01-2019,120,India,,"Hindi, English",Bohra Bros Productions
tt0360556,Fahrenheit 451,2018,20-05-2018,100,USA,,English,HBO Films
tt0361953,The Nest of the Cuckoo Birds,2017,16-10-2017,81,USA,,English,Bert Williams Motion Pictures and Distributor
tt0365545,Nappily Ever After,2018,21-09-2018,98,USA,,English,Netflix
tt0385887,Motherless Brooklyn,2019,01-11-2019,144,USA,$ 9205026,English,Class 5 Films
tt0427543,A Million Little Pieces,2019,30-08-2019,113,USA,$ 49710,English,3Blackdot
tt0437086,Alita: Battle Angel,2019,06-02-2019,122,USA,$ 404852543,"English, Spanish",Twentieth Century Fox
tt0441881,Danger Close: The Battle of Long Tan,2019,08-08-2019,118,Australia,$ 2034844,English,Deeper Water
tt0443474,Crazy,2017,19-01-2017,106,USA,,English,FN Crazy Film LLC
tt0448115,Shazam!,2019,05-04-2019,132,"USA, Canada",$ 364571656,"English, Spanish",Warner Bros.
tt0451201,Sludge,2017,19-09-2017,95,USA,,English,Xeno Films
tt0451279,Wonder Woman,2017,01-06-2017,141,"USA, China, Hong Kong",$ 821847012,"English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian",Warner Bros.
tt0456407,Fakir of Venice,2019,08-02-2019,87,India,,"English, Hindi",October Films
tt0460890,The Only Living Boy in New York,2017,11-08-2017,89,USA,$ 2550321,English,Amazon Studios
tt0490215,Silence,2017,01-01-2017,161,"USA, UK, Taiwan, Japan, Mexico, Italy",$ 23737523,"English, Japanese, Latin",SharpSword Films
tt0491175,Suburbicon,2017,24-11-2017,105,"UK, USA",$ 12751667,English,Black Bear Pictures
tt0491203,Tulip Fever,2018,07-12-2018,105,"UK, USA",$ 8381715,English,Worldview Entertainment
tt0493405,CHIPS,2017,24-03-2017,100,USA,$ 26800152,"English, Spanish",Primate Pictures
tt0493407,Cook Off!,2017,17-11-2017,98,USA,,English,
tt0498381,Rings,2017,03-02-2017,102,USA,$ 83080890,English,Macari/Edelstein
tt0499469,Emilio,2017,17-02-2017,102,USA,,"English, Spanish",Emilio Productions
tt0765465,The Legend of Secret Pass,2019,15-01-2019,92,USA,,English,JC2 Animated Entertainment
tt0800325,The Dirt,2019,22-03-2019,107,USA,,English,10th Street Entertainment
tt0835802,Krystal,2018,13-04-2018,90,USA,$ 37516,English,Dorian Media
tt0837563,Pet Sematary,2019,04-04-2019,101,"USA, Canada",$ 112399944,English,Paramount Pictures
tt0858419,Bolden,2019,03-05-2019,108,USA,,English,King Bolden
tt0859635,Super Troopers 2,2018,15-06-2018,99,USA,$ 31626386,English,Votiv Films
tt0862930,Dukun,2018,05-04-2018,108,Malaysia,,"Hokkien, Malay",Astro Shaw
